Sample,MP2/(H29/29Ts),C3-Dibenzothiophenes/C3-Phenanthrenes/Anthracenes,C1-Naphthobenzothiophenes/C1-Fluoranthenes/Pyrenes,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,"2,6,10 Trimethyldodecane (1380)/C4-Decalins",27bb S/Hop,C26 Tricyclic Terpane-22S/H29,Tm/Bsnh,n-Tetracosane (C24)/Hop,H29/Hop,Bsnh/H29,29Ts/Hop,Benzo[e]pyrene/Hop,Pr/Phy,nC17/pristane,nC18/phytane,Type,Date,,,
170308-03,-1.300873623,-5.086829747,11.07815292,2.883243632,22.42412128,-17.48264972,-18.15129368,-27.11332967,11.68788267,4.014942245,-7.252126554,-6.816453136,4.589620071,-22.72024377,12.05642114,-23.77788667,-29.0562818,31.64031225,42.90845054,-7.060300891,-21.63300565,-6.238574447,-21.8961591,-13.83607473,84.27486652,2.731951731,Group 3,3/8/17,,,
170308-04,13.77097868,-3.335006202,11.25754029,3.276163471,10.55320493,-18.78937495,-19.95559223,-14.8114783,3.684031531,-2.913420357,-7.999303223,-3.985259735,-3.687743338,-25.29803271,12.0791922,-23.821358,-23.91930949,18.72808132,1.525638315,-6.224181455,-9.222846625,-0.690288379,-5.025215282,-8.81211146,52.67889477,-7.651707907,Group 3,3/8/17,,,
170308-05,-26.99925455,-9.666730186,17.07626579,-13.35499524,-47.39429424,-14.96255543,-14.16303835,-21.96641418,73.60127894,51.71770984,-14.77280322,-8.815520385,49.38592871,-18.43741359,-20.78862648,-18.19322888,-15.45049809,23.4143828,-6.338197254,-6.845992196,-16.29211647,-5.589777115,33.82152762,-13.91260361,36.75939267,-28.20705829,Group 3,3/8/17,,,
170308-06,-11.6934266,-8.538926169,30.71708738,4.347957818,-21.24549195,-15.8220302,-21.0440319,-21.73176479,64.72353148,30.01931999,-19.90435065,-13.96991598,33.21193534,-22.4666766,-22.54175603,-23.90483322,-31.09514809,27.61006248,-10.02332466,-8.024864255,-14.96426974,-5.921296148,7.138544046,-47.86963846,57.13763973,25.49969574,W,3/8/17,,,
170308-07,-31.67450429,-12.92464209,52.59598594,10.65474517,-48.06006107,-20.27739571,-17.70270687,-21.80342414,80.70245603,44.75739437,-14.27155198,-19.94182322,56.41110482,-20.83335396,-24.27769477,-20.06622438,-31.95208025,31.51966444,-15.79818092,-5.581080455,-17.24103484,-2.851486986,24.95488629,-60.50585523,49.83198168,-18.70690399,W,3/8/17,,,
170308-08,-15.48311432,-6.371686106,58.55828604,53.17563506,8.772902803,-17.93261324,-18.01503057,-25.45501349,42.74357533,-10.37343828,-43.23273028,-20.31126242,-18.18496056,-24.08965055,,-24.58898119,-32.65397313,32.18448912,-15.81915273,-5.048499926,-21.54819288,-2.206665618,-26.26658292,-80.15073337,,14.29905869,W,3/8/17,,,
170310-1,-40.00699761,-14.02894776,11.18183605,-11.53961049,-53.23392638,-30.33678809,-12.79364145,-17.02774372,90.28147212,104.5853316,-11.65372838,-7.567863979,69.73183078,-5.243976577,-39.40338256,-4.925576551,-25.13680324,16.43322969,-59.63467898,-9.718284013,-8.16263031,-10.04615911,25.83423102,-9.342985867,-20.90502192,-69.94046738,Group 2,3/10/17,,,
170310-2,-30.03718461,-14.13506553,7.041426623,-5.2903486,-45.50993307,-30.40747628,-12.17500535,-16.05993077,51.99871161,55.56449834,-13.56102538,-8.303840346,32.65636109,5.019840184,-29.27713189,2.492552572,-24.81524639,21.04666529,,-5.499231237,-11.23938081,-7.774802838,28.58334034,-9.131170413,,,Group 2,3/10/17,,,
170310-3,-27.32227647,-9.959001348,6.007507686,-2.72418011,-30.91495116,-33.008315,-18.01503057,-6.850273614,23.94211414,23.90251552,-8.163371541,-6.171816818,14.9247051,2.542728538,-26.18902305,1.538652385,-30.65291629,16.68137003,-69.56621564,0.961717331,-7.804187499,-6.989681264,11.60710969,-10.41857756,-76.81844812,,Group 3a,3/10/17,,,
170310-4,-4.608217162,-8.422637454,3.701050227,11.84112124,6.951662412,-30.91840198,-15.43572816,3.831203391,3.453641003,3.871256296,-7.566750218,-4.387090604,-3.449935297,-1.8121533,-26.31357967,-0.08991854,-23.84605846,1.309919126,-29.33718342,-2.819567527,6.766597275,-9.358641316,-6.5401962,-8.20977319,-10.97578514,-41.42370729,Group 3a,3/10/17,,,
